1475,13.57,4.37,0.01,49,001178.150
1475,13.58,4.37,0.02,49,001178.250
1475,13.57,4.37,0.01,49,001178.350
1475,13.58,4.38,0.00,49,001178.450
1475,13.56,4.39,-0.02,50,001178.550
1475,13.57,4.38,0.02,50,001178.650
1475,13.55,4.39,0.02,55,001178.750
1475,13.56,4.39,0.03,49,001178.850
1475,13.55,4.40,0.02,50,001178.950
1475,13.57,4.39,0.01,53,001179.050
1475,13.58,4.38,0.03,50,001179.150
1475,13.58,4.38,0.02,49,001179.250
1475,13.59,4.38,0.04,50,001179.350
1475,13.57,4.38,0.05,50,001179.450
1475,13.56,4.38,0.03,50,001179.550
1475,13.57,4.38,0.03,49,001179.650
1475,13.58,4.37,0.03,54,001179.750
1475,13.55,4.38,0.02,50,001179.850
1475,13.55,4.38,0.01,54,001179.950
1475,13.58,4.37,0.01,52,001180.050
1475,13.60,4.37,0.03,55,001180.150
1475,13.59,4.36,0.03,49,001180.250
1475,13.59,4.37,0.05,49,001180.350
1475,13.58,4.38,0.04,49,001180.450
1475,13.58,4.36,0.05,49,001180.550
1475,13.57,4.37,0.04,54,001180.650
1475,13.58,4.37,0.04,49,001180.750
